,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,rikitea,-23.12,-134.97,23.67,82,99,6.1,PF,1603902909
1,mataura,-46.19,168.86,8.89,90,93,0.89,NZ,1603902994
2,busselton,-33.65,115.33,14.44,47,0,5.41,AU,1603902994
3,dikson,73.51,80.55,-15.47,93,28,9.82,RU,1603902994
4,albany,42.6,-73.97,8.33,90,100,0.53,US,1603902853
5,hanzhong,33.07,107.03,10.84,79,90,0.42,CN,1603902994
6,beringovskiy,63.05,179.32,-3.49,96,46,6.36,RU,1603902994
7,mackay,-21.15,149.2,20.0,94,31,3.28,AU,1603902994
8,saskylakh,71.92,114.08,-14.95,91,100,6.05,RU,1603902994
9,flinders,-34.58,150.86,15.56,88,100,0.45,AU,1603902995
10,punta arenas,-53.15,-70.92,10.0,43,40,15.4,CL,1603902890
11,kidal,18.44,1.41,32.85,11,1,4.91,ML,1603902995
12,yaan,7.38,8.57,28.38,59,59,0.92,NG,1603902995
13,new norfolk,-42.78,147.06,10.0,87,90,1.5,AU,1603902918
14,rabat,33.99,-6.84,20.0,60,0,4.6,MA,1603902998
15,vao,-22.67,167.48,21.95,78,60,8.21,NC,1603902998
16,aksu,41.12,80.26,7.47,50,100,0.74,CN,1603902999
17,east london,-33.02,27.91,21.0,83,90,3.6,ZA,1603902999
18,lebu,-37.62,-73.65,12.73,61,0,5.91,CL,1603902999
19,sitka,57.05,-135.33,6.0,87,90,3.6,US,1603902999
20,mahibadhoo,3.78,72.97,28.37,76,77,5.27,MV,1603902999
21,hermanus,-34.42,19.23,18.89,62,90,3.58,ZA,1603902913
22,bontang,0.13,117.5,26.64,82,79,1.53,ID,1603902999
23,pacific grove,36.62,-121.92,13.33,32,1,1.5,US,1603902991
24,raudeberg,61.99,5.14,10.56,65,55,5.71,NO,1603903000
25,namatanai,-3.67,152.43,26.34,82,59,2.01,PG,1603903000
26,yuli,9.7,10.27,29.41,28,19,1.78,NG,1603903000
27,atuona,-9.8,-139.03,25.23,74,25,9.04,PF,1603902906
28,viedma,-40.81,-63.0,19.44,37,14,2.68,AR,1603903000
29,adrar,20.5,-10.07,33.03,14,0,5.34,MR,1603903001
30,khatanga,71.97,102.5,-18.89,90,33,1.72,RU,1603903001
31,bluff,-46.6,168.33,8.89,90,94,0.89,NZ,1603902909
32,shirokiy,49.76,129.52,-2.14,98,81,3.97,RU,1603902976
33,xai-xai,-25.05,33.64,26.17,60,0,6.84,MZ,1603903001
34,talnakh,69.49,88.4,-19.1,75,0,1.87,RU,1603902787
35,alice springs,-23.7,133.88,16.0,21,0,3.41,AU,1603903001
36,shimoda,34.67,138.95,13.89,61,79,0.89,JP,1603902999
37,bilibino,68.05,166.44,-17.63,86,87,0.89,RU,1603903001
38,bredasdorp,-34.53,20.04,21.0,49,97,6.7,ZA,1603903002
39,yellowknife,62.46,-114.35,-6.0,92,90,2.52,CA,1603903003
40,kapaa,22.08,-159.32,21.0,88,20,3.1,US,1603903003
41,tuktoyaktuk,69.45,-133.04,-6.0,85,90,7.2,CA,1603903003
42,saint george,37.1,-113.58,12.22,26,1,2.1,US,1603902964
43,waipawa,-41.41,175.52,13.0,87,99,1.5,NZ,1603903003
44,maceio,-9.67,-35.74,31.0,58,75,7.2,BR,1603902906
45,pontianak,-0.03,109.33,24.82,90,88,1.1,ID,1603903004
46,cherskiy,68.75,161.3,-15.42,94,92,3.13,RU,1603903004
47,suntar,62.14,117.63,-11.11,91,42,1.82,RU,1603903004
48,vaini,-21.2,-175.2,21.0,88,20,4.1,TO,1603902908
49,stephenville,32.22,-98.2,3.33,93,90,4.6,US,1603902953
50,faanui,-16.48,-151.75,26.68,80,88,8.09,PF,1603903004
51,thompson,55.74,-97.86,-11.0,66,75,3.6,CA,1603903004
52,puerto ayora,-0.74,-90.35,22.0,78,75,4.1,EC,1603903005
53,sao filipe,14.9,-24.5,28.5,64,100,1.35,CV,1603902966
54,upernavik,72.79,-56.15,-11.19,80,11,3.12,GL,1603903005
55,zhigansk,66.77,123.37,-22.84,90,46,2.59,RU,1603903005
56,souillac,-20.52,57.52,23.33,73,77,3.13,MU,1603903005
57,kendari,-3.94,122.5,25.11,84,43,1.36,ID,1603903005
58,mar del plata,-38.0,-57.56,17.78,55,0,3.6,AR,1603903005
59,yulara,-25.24,130.99,22.0,14,0,2.1,AU,1603903006
