,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,rikitea,-23.12,-134.97,74.79,75,75,11.77,PF,1604001390
1,mataura,-46.19,168.86,55.0,90,100,1.99,NZ,1604001295
2,busselton,-33.65,115.33,57.99,45,0,12.75,AU,1604001393
3,dikson,73.51,80.55,5.9,92,100,23.17,RU,1604001406
4,albany,42.6,-73.97,46.0,90,100,2.75,US,1604001391
5,hanzhong,33.07,107.03,56.53,74,76,2.17,CN,1604001795
6,beringovskiy,63.05,179.32,23.92,86,0,7.67,RU,1604001525
7,mackay,-21.15,149.2,66.2,93,75,4.7,AU,1604001796
8,saskylakh,71.92,114.08,-0.08,84,0,4.61,RU,1604001399
9,flinders,-34.58,150.86,55.99,92,25,1.01,AU,1604001495
10,punta arenas,-53.15,-70.92,53.6,50,40,36.91,CL,1604001500
11,kidal,18.44,1.41,83.05,14,0,12.33,ML,1604001796
12,yaan,7.38,8.57,78.73,79,51,6.42,NG,1604001796
13,new norfolk,-42.78,147.06,48.99,71,11,1.81,AU,1604001752
14,rabat,33.99,-6.84,64.99,87,20,4.47,MA,1604001796
15,vao,-22.67,167.48,73.36,83,63,19.17,NC,1604001425
16,aksu,41.12,80.26,42.93,59,75,1.43,CN,1604001548
17,east london,-33.02,27.91,63.16,87,100,19.08,ZA,1604001796
18,lebu,-37.62,-73.65,55.76,67,0,21.65,CL,1604001283
19,sitka,57.05,-135.33,42.8,87,90,4.7,US,1604001413
20,mahibadhoo,3.78,72.97,82.31,76,70,11.05,MV,1604001797
21,hermanus,-34.42,19.23,48.0,86,0,10.02,ZA,1604001451
22,bontang,0.13,117.5,77.85,79,99,1.95,ID,1604001371
23,pacific grove,36.62,-121.92,75.0,45,1,8.05,US,1604001797
24,raudeberg,61.99,5.14,46.0,88,38,10.07,NO,1604001543
25,namatanai,-3.67,152.43,78.22,86,98,8.25,PG,1604001541
26,yuli,9.7,10.27,81.0,33,25,3.15,NG,1604001797
27,atuona,-9.8,-139.03,77.99,71,92,18.59,PF,1604001403
28,viedma,-40.81,-63.0,73.0,20,0,1.99,AR,1604001797
29,adrar,20.5,-10.07,86.13,13,29,7.96,MR,1604001533
30,khatanga,71.97,102.5,3.65,86,0,14.43,RU,1604001314
31,bluff,-46.6,168.33,55.0,90,100,1.99,NZ,1604001418
32,shirokiy,49.76,129.52,28.27,95,47,3.33,RU,1604001798
33,xai-xai,-25.05,33.64,72.68,81,0,10.22,MZ,1604001798
34,talnakh,69.49,88.4,5.34,85,73,7.25,RU,1604001400
35,alice springs,-23.7,133.88,68.0,32,12,16.11,AU,1604001798
36,shimoda,34.67,138.95,52.0,76,87,1.99,JP,1604001798
37,bilibino,68.05,166.44,0.19,83,45,1.68,RU,1604001453
38,bredasdorp,-34.53,20.04,53.6,54,7,8.05,ZA,1604001433
39,yellowknife,62.46,-114.35,21.0,91,2,6.69,CA,1604001393
40,kapaa,22.08,-159.32,77.0,64,1,3.36,US,1604001283
41,tuktoyaktuk,69.45,-133.04,6.03,93,46,5.66,CA,1604001445
42,saint george,37.1,-113.58,72.0,17,1,0.89,US,1604001607
43,waipawa,-41.41,175.52,62.01,87,95,17.22,NZ,1604001799
44,maceio,-9.67,-35.74,84.2,58,0,8.05,BR,1604001353
45,pontianak,-0.03,109.33,76.84,91,90,2.89,ID,1604001799
46,cherskiy,68.75,161.3,5.86,92,95,4.72,RU,1604001343
47,suntar,62.14,117.63,10.81,88,100,6.96,RU,1604001799
48,vaini,-21.2,-175.2,73.4,73,40,10.29,TO,1604001409
49,stephenville,32.22,-98.2,53.01,66,90,13.87,US,1604001799
50,faanui,-16.48,-151.75,80.33,75,0,7.81,PF,1604001395
51,thompson,55.74,-97.86,26.44,96,100,11.25,CA,1604001449
52,puerto ayora,-0.74,-90.35,78.8,69,40,10.36,EC,1604001783
53,sao filipe,14.9,-24.5,81.1,70,0,7.85,CV,1604001800
54,upernavik,72.79,-56.15,22.28,85,100,3.49,GL,1604001409
55,zhigansk,66.77,123.37,-7.53,91,99,4.43,RU,1604001800
56,souillac,-20.52,57.52,68.0,72,0,5.01,MU,1604001333
57,kendari,-3.94,122.5,75.54,85,93,1.92,ID,1604001800
58,mar del plata,-38.0,-57.56,55.4,54,20,11.41,AR,1604001521
59,yulara,-25.24,130.99,64.4,31,0,11.41,AU,1604001616
60,sangar,63.92,127.47,-12.75,89,17,1.43,RU,1604001800
61,itoman,26.12,127.67,75.2,73,75,8.05,JP,1604001588
62,faya,18.39,42.45,64.4,25,0,5.82,SA,1604001420
63,olinda,-8.01,-34.86,82.4,65,0,8.05,BR,1604001493
64,bandarbeyla,9.49,50.81,78.75,82,33,12.15,SO,1604001330
65,port lincoln,-34.73,135.87,55.83,80,56,22.86,AU,1604001769
66,cape town,-33.93,18.42,55.4,54,0,5.82,ZA,1604001801
67,jamestown,42.1,-79.24,46.0,100,90,5.82,US,1604001389
68,korla,41.76,86.15,46.99,76,100,4.0,CN,1604001642
69,mount isa,-20.73,139.5,53.6,18,0,6.46,AU,1604001801
70,lata,40.16,-8.33,61.0,73,0,2.42,PT,1604001801
71,salym,60.06,71.48,37.2,97,100,11.05,RU,1604001801
72,pevek,69.7,170.31,18.75,93,100,7.96,RU,1604001415
73,belgrade,44.8,20.47,53.6,100,40,2.24,RS,1604001590
74,lebork,54.54,17.75,48.99,87,20,10.29,PL,1604001802
75,kavieng,-2.57,150.8,81.25,75,100,4.45,PG,1604001282
76,kathmandu,27.72,85.32,57.2,93,20,3.36,NP,1604001601
77,ushuaia,-54.8,-68.3,46.4,75,75,32.21,AR,1604001282
78,mumford,5.26,-0.76,78.42,86,29,7.4,GH,1604001802
79,yar-sale,66.83,70.83,13.6,96,89,8.84,RU,1604001802
80,luderitz,-26.65,15.16,60.46,71,30,28.3,NA,1604001428
81,monchegorsk,67.94,32.87,36.59,94,100,4.12,RU,1604001802
82,vardo,70.37,31.11,32.0,81,90,9.17,NO,1604001486
83,cape canaveral,28.41,-80.6,91.4,55,20,16.11,US,1604001802
84,kieta,-6.22,155.63,80.46,77,100,2.35,PG,1604001616
85,nelson bay,-32.72,152.15,54.0,100,2,2.24,AU,1604001802
86,georgetown,5.41,100.34,78.8,94,20,4.43,MY,1604001514
87,khorramshahr,30.44,48.17,69.8,49,0,2.24,IR,1604001803
88,weihai,37.5,122.11,57.15,53,0,8.7,CN,1604001803
89,pangody,65.85,74.49,7.43,95,88,8.32,RU,1604001803
90,victoria,22.29,114.16,75.99,82,74,1.01,HK,1604001330
91,hilo,19.73,-155.09,78.8,65,75,3.36,US,1604001425
92,boa vista,2.82,-60.67,86.0,62,75,16.11,BR,1604001803
93,udachnyy,66.42,112.4,-10.71,89,85,1.72,RU,1604001803
94,severo-kurilsk,50.68,156.12,41.34,79,84,5.41,RU,1604001410
95,san patricio,28.02,-97.52,72.0,37,20,21.92,US,1604001803
96,homer,59.64,-151.55,33.01,68,40,8.05,US,1604001804
97,indian head,38.6,-77.16,69.8,88,90,12.75,US,1604001741
98,poum,-20.23,164.02,76.21,71,69,15.68,NC,1604001549
99,mwinilunga,-11.74,24.43,67.44,79,98,3.91,ZM,1604001804
100,chokurdakh,70.63,147.92,-4.83,92,99,4.83,RU,1604001417
101,hobart,-42.88,147.33,53.6,81,75,2.55,AU,1604001338
102,along,28.17,94.77,60.51,50,3,2.46,IN,1604001630
103,port alfred,-33.59,26.89,62.64,75,100,20.56,ZA,1604001579
104,le pradet,43.11,6.02,66.0,52,0,3.36,FR,1604001637
105,repelon,10.49,-75.13,83.08,82,100,9.06,CO,1604001804
106,hirara,24.8,125.28,76.86,81,93,19.46,JP,1604001804
107,ribeira grande,38.52,-28.7,68.0,94,75,14.99,PT,1604001805
108,butaritari,3.07,172.79,82.06,73,48,11.18,KI,1604001403
109,verkhoyansk,67.54,133.38,3.09,92,100,0.31,RU,1604001650
110,qaanaaq,77.48,-69.36,5.18,72,0,5.77,GL,1604001283
111,bojnurd,37.47,57.33,50.0,25,0,2.24,IR,1604001805
112,northam,51.03,-4.22,59.0,90,100,7.0,GB,1604001477
113,kununurra,-15.77,128.73,78.8,94,50,6.44,AU,1604001454
114,polunochnoye,60.87,60.42,34.79,90,65,6.02,RU,1604001805
115,nome,64.5,-165.41,21.99,85,40,6.53,US,1604001805
116,iqaluit,63.75,-68.51,7.34,90,70,9.01,CA,1604001363
117,avarua,-21.21,-159.78,75.2,78,100,8.05,CK,1604001466
118,basco,20.45,121.97,79.79,80,24,25.77,PH,1604001642
119,norman wells,65.28,-126.83,14.49,91,68,3.49,CA,1604001605
120,pitimbu,-7.47,-34.81,82.4,65,20,13.87,BR,1604001264
121,otradnoye,59.78,30.82,50.0,93,90,2.24,RU,1604001806
122,codrington,-38.27,141.97,50.85,93,97,2.06,AU,1604001566
123,esperance,-33.87,121.9,48.2,87,0,8.05,AU,1604001508
124,fortuna,40.6,-124.16,70.0,37,1,5.82,US,1604001131
125,kalabo,-14.97,22.68,75.15,53,6,5.06,ZM,1604001806
126,aklavik,68.22,-135.01,14.72,93,100,4.94,CA,1604001309
127,sunrise manor,36.21,-115.07,75.99,14,1,5.82,US,1604001604
128,grindavik,63.84,-22.43,42.8,93,75,14.99,IS,1604001806
129,jieshi,22.81,115.83,71.53,83,98,10.36,CN,1604001806
130,chuy,-33.7,-53.46,60.28,59,24,16.49,UY,1604001448
131,yandyki,45.77,47.13,56.86,63,78,14.45,RU,1604001807
132,zhurivka,50.5,31.78,48.2,100,75,4.47,UA,1604001807
133,casablanca,33.59,-7.62,66.2,72,0,9.17,MA,1604001632
134,salalah,17.02,54.09,78.8,69,0,3.36,OM,1604001546
135,svetlogorsk,52.63,29.73,48.15,93,100,6.24,BY,1604001809
136,atar,20.52,-13.05,86.79,15,4,9.8,MR,1604001535
137,hasaki,35.73,140.83,54.0,71,75,5.82,JP,1604001469
138,aleppo,36.25,37.5,68.68,52,0,7.72,SY,1604001809
139,kahului,20.89,-156.47,80.6,74,90,4.7,US,1604001341
140,cabo san lucas,22.89,-109.91,82.99,54,5,11.41,MX,1604001760
141,castro,-24.79,-50.01,62.24,90,100,8.1,BR,1604001420
142,nikolskoye,59.7,30.79,50.0,93,90,2.24,RU,1604001401
143,khudumelapye,-23.88,24.75,80.76,20,0,10.45,BW,1604001809
144,provideniya,64.38,-173.3,19.4,62,0,5.99,RU,1604001290
